title,sales/watches/total_watches,posting_date
미키 17,"['5,606,265,200', '562,205', '2,098,564']",2025-03-13
퇴마록,"['586,258,420', '59,131', '384,934']",2025-03-13
콘클라베,"['491,217,300', '51,266', '75,092']",2025-03-13
플레이브 '대쉬' 인 시네마,"['32,702,000', '32,702', '32,702']",2025-03-13
캡틴 아메리카: 브레이브 뉴 월드,"['313,749,040', '32,333', '1,632,943']",2025-03-13
괜찮아 괜찮아 괜찮아!,"['212,457,500', '22,607', '100,593']",2025-03-13
힘내라 대한민국,"['115,842,700', '12,380', '58,462']",2025-03-13
"그 시절, 우리가 좋아했던 소녀","['97,589,500', '9,962', '158,884']",2025-03-13
패딩턴: 페루에 가다!,"['87,424,100', '9,235', '119,057']",2025-03-13
아노라,"['86,664,000', '8,537', '66,431']",2025-03-13
